232 trajectories on 4 workers (56 already complete)
[1/232] two-plane-four-peaks s0 space-filling peak=0.20 placement 0.0220 end_to_end 0.0400
[2/232] two-plane-four-peaks s0 vwrs peak=0.20 placement 0.0154 end_to_end 0.0275
[3/232] two-plane-four-peaks s0 vwrs-n peak=0.20 placement 0.0165 end_to_end 0.0260
[4/232] two-plane-four-peaks s0 gpr-var peak=0.20 placement 0.0256 end_to_end 0.0379
[5/232] two-plane-four-peaks s0 vurs-n peak=0.20 placement 0.0188 end_to_end 0.0319
[6/232] two-plane-four-peaks s0 vurs peak=0.20 placement 0.0161 end_to_end 0.0315
[7/232] two-plane-four-peaks s0 space-filling peak=0.10 placement 0.0220 end_to_end 0.0289
[8/232] two-plane-four-peaks s0 gpr-u50-g50 peak=0.20 placement 0.0223 end_to_end 0.0317
[9/232] two-plane-four-peaks s0 vurs-a peak=0.20 placement 0.0208 end_to_end 0.0320
[10/232] two-plane-four-peaks s0 gpr-n peak=0.20 placement 0.0236 end_to_end 0.0338
[11/232] two-plane-four-peaks s0 vwrs peak=0.10 placement 0.0179 end_to_end 0.0214
[12/232] two-plane-four-peaks s0 gpr-var peak=0.10 placement 0.0224 end_to_end 0.0279
[13/232] two-plane-four-peaks s0 vwrs-n peak=0.10 placement 0.0164 end_to_end 0.0209
[14/232] two-plane-four-peaks s0 gpr-u50-g50 peak=0.10 placement 0.0189 end_to_end 0.0234
[15/232] two-plane-four-peaks s0 vurs-n peak=0.10 placement 0.0133 end_to_end 0.0188
[16/232] two-plane-four-peaks s0 vurs peak=0.10 placement 0.0123 end_to_end 0.0196
[17/232] two-plane-four-peaks s1 space-filling peak=0.20 placement 0.0174 end_to_end 0.0339
[18/232] two-plane-four-peaks s0 vurs-a peak=0.10 placement 0.0180 end_to_end 0.0211
[19/232] two-plane-four-peaks s0 gpr-n peak=0.10 placement 0.0175 end_to_end 0.0213
[20/232] two-plane-four-peaks s1 vwrs peak=0.20 placement 0.0137 end_to_end 0.0278
[21/232] two-plane-four-peaks s1 gpr-var peak=0.20 placement 0.0214 end_to_end 0.0290
[22/232] two-plane-four-peaks s1 vwrs-n peak=0.20 placement 0.0139 end_to_end 0.0231
[23/232] two-plane-four-peaks s1 vurs peak=0.20 placement 0.0138 end_to_end 0.0283
[24/232] two-plane-four-peaks s1 gpr-u50-g50 peak=0.20 placement 0.0249 end_to_end 0.0347
[25/232] two-plane-four-peaks s0 gpr-n peak=0.05 placement 0.0162 end_to_end 0.0170
[26/232] two-plane-four-peaks s2 space-filling peak=0.20 placement 0.0284 end_to_end 0.0356
[27/232] two-plane-four-peaks s1 vurs-a peak=0.20 placement 0.0167 end_to_end 0.0265
[28/232] two-plane-four-peaks s1 vurs-n peak=0.20 placement 0.0170 end_to_end 0.0269
[29/232] two-plane-four-peaks s2 vwrs peak=0.20 placement 0.0132 end_to_end 0.0227
[30/232] two-plane-four-peaks s1 gpr-n peak=0.20 placement 0.0292 end_to_end 0.0359
[31/232] two-plane-four-peaks s2 vwrs-n peak=0.20 placement 0.0157 end_to_end 0.0253
[32/232] two-plane-four-peaks s2 gpr-var peak=0.20 placement 0.0249 end_to_end 0.0316
[33/232] two-plane-four-peaks s2 vurs peak=0.20 placement 0.0120 end_to_end 0.0238
[34/232] two-plane-four-peaks s2 gpr-u50-g50 peak=0.20 placement 0.0182 end_to_end 0.0265
[35/232] three-plane-three-peaks s0 space-filling peak=0.20 placement 0.0229 end_to_end 0.0360
[36/232] two-plane-four-peaks s2 vurs-n peak=0.20 placement 0.0162 end_to_end 0.0244
[37/232] two-plane-four-peaks s2 vurs-a peak=0.20 placement 0.0194 end_to_end 0.0261
[38/232] three-plane-three-peaks s0 vwrs peak=0.20 placement 0.0140 end_to_end 0.0302
[39/232] two-plane-four-peaks s2 gpr-n peak=0.20 placement 0.0191 end_to_end 0.0260
[40/232] three-plane-three-peaks s0 vwrs-n peak=0.20 placement 0.0159 end_to_end 0.0330
[41/232] three-plane-three-peaks s0 vurs peak=0.20 placement 0.0128 end_to_end 0.0280
[42/232] three-plane-three-peaks s0 gpr-u50-g50 peak=0.20 placement 0.0155 end_to_end 0.0288
[43/232] three-plane-three-peaks s0 gpr-var peak=0.20 placement 0.0208 end_to_end 0.0346
[44/232] three-plane-three-peaks s1 space-filling peak=0.20 placement 0.0236 end_to_end 0.0329
[45/232] three-plane-three-peaks s0 vurs-n peak=0.20 placement 0.0116 end_to_end 0.0234
[46/232] three-plane-three-peaks s0 vurs-a peak=0.20 placement 0.0144 end_to_end 0.0271
